SLC4A1,ALOX5,DDX11,NRXN3,CD44,KITLG,ASPM,STAG3,FCGR2B,GLI2,ARHGAP15,SPAG5,ICAM1,APOL1,CORO1A,CD33,ZNF85,NSUN5P2,BMPR1A,AREG,VNN2,KLHL24,VIPR1,LCT,LEPR,NEK2,PCDHB14,KIF18A,RIBC2,APOE,FXYD2,CELSR2,AFF3,GZMA,SCML4,NLGN4X,TMEM236,FCGR1A,DIXDC1,SEC24D,CD96,MSI2,GRAP,OBSCN,AGAP1,NCF1,DDR2,FCGR3B,KIF26B,EBF1,GALNT10,DEFA4,GKAP1,NCF1C,JAM3,PRKCB,AR,RNASE3,HIC2,MYO7B,GYPA,CD8B,CSPG4,NCKAP5,TIGIT,NCF1B,GTF2H2C,FMNL1,RGPD2,PRAME,PCDHB13,FAM72B,GRAPL,FAM72A,ZNF138,ARHGAP11A,FCGR3A,MICA,LILRB3,HCP5,SNORA12,DDX12P,FAM72D,RPL23AP53,HAR1A,ZNF492,FCGR2C,GYPB,ZNF850,Cell_type
0.323542,1.8344566,1.7084224,0.45988008,2.438713,0.123771355,2.2135484,1.8607993,0.6220441,0.04162534,2.2130578,1.8513678,1.1111398,1.2994196,2.445599,0.35942966,1.4680327,0.98286086,0.31014758,0.3845021,1.2910749,2.2276678,0.55680984,0.29926106,0.9355338,1.3130066,0.17037733,1.4224781,0.61893773,0.66653717,0.13975178,1.1624422,2.328823,1.5274183,1.75362,0.0428733,0.7869273,0.5572785,0.74252915,1.4133439,2.4599657,2.6622584,1.6255904,1.5922625,0.484555,1.6042776,0.122332774,0.399281,0.89093596,2.2594535,1.5790193,0.5138047,1.1056601,1.2003701,0.4391409,2.7224689,0.10156431,0.33413047,1.2826041,1.3558183,0.12428065,1.3497207,0.28880227,0.51658267,1.1663554,1.0618831,0.5447866,2.0585926,0.080881566,0.4869639,0.077702485,0.86830276,0.37589616,0.87433904,1.5246247,1.951984,1.768702,0.9378681,0.41763657,1.8373466,0.33459464,1.1474152,0.62007797,0.8989722,0.30367962,0.094377436,0.40311134,-0.03742109,1.1241469,B
0.62140656,1.8293391,1.7827415,0.7710647,2.4738395,0.027426308,2.3217053,1.6397599,0.28047007,0.026789552,2.0926256,1.9611958,1.0890002,0.98257923,2.3370671,0.29834536,1.5802824,0.8966693,0.16544977,0.14127451,0.9954268,2.429038,0.40888944,0.27658537,0.6939948,1.3434362,0.34842563,1.5967492,0.5783924,0.42151192,0.20296668,1.4156141,2.3765829,0.85457027,1.4199032,-0.013501667,1.1026726,0.1901116,0.45712963,1.3777444,1.79228,2.7206764,1.5027971,1.4747827,0.14765222,1.3547709,0.066274606,0.31824675,0.49891368,2.557183,1.5088689,1.0151237,1.2499026,0.95826375,0.30958042,2.7147422,0.027775452,0.5719591,1.3833194,1.2245433,0.2600593,0.6311807,0.07684585,0.60587806,0.6277926,0.9933797,0.5435736,2.0223246,0.15441737,0.20155436,0.24344254,0.8435434,0.35060042,0.85959446,1.5623411,2.0485005,1.1300062,1.0365387,0.34150136,1.7244713,0.22707057,1.2326517,0.4614844,1.0384533,0.32086214,0.60777974,0.32123584,0.03984179,1.2994351,B
0.7515141,1.8005475,1.7262574,0.8673368,2.6094,0.01864799,2.33288,1.5793427,0.30606014,-0.018102584,2.101171,2.0153675,1.090464,0.9888944,2.3358905,0.29786715,1.6391948,0.88316643,0.12893532,0.1528523,0.9697156,2.4167056,0.4338698,0.35712337,0.696066,1.3512676,0.39181024,1.6053543,0.58415955,0.45713454,0.33686772,1.3571187,2.3140411,0.8794864,1.4476101,0.05915127,1.1781622,0.21356098,0.38115728,1.385018,1.9789804,2.7362373,1.5241704,1.5162888,0.07704492,1.2976882,0.058757253,0.33007732,0.5311927,2.4984968,1.560726,0.93572253,1.2875955,0.9011436,0.37095264,2.685811,-0.018855318,0.50347465,1.4106247,1.2434695,0.3520912,0.692706,0.14531077,0.6655266,0.61622584,0.94068855,0.49819657,2.114264,0.17870246,0.3116339,0.26630786,0.8110071,0.40816653,0.8084956,1.5818014,2.0454333,1.2932843,0.99562675,0.39202285,1.6791729,0.2085923,1.2411691,0.43182015,0.9998151,0.2647261,0.5698542,0.37732908,0.04856636,1.28224,B
1.4713217,1.7083741,1.8079444,0.9973936,2.5516129,0.027023045,2.283059,1.7100289,0.33034912,-0.008872814,2.0336714,2.04665,1.2312418,1.0158716,2.2366042,0.4262253,1.5957463,0.87361467,0.052058935,0.22197416,1.0526496,2.512728,0.14794616,0.23155862,0.7696163,1.3082265,0.3491868,1.5440114,0.5451017,0.51417315,0.62293667,1.4097663,2.3914368,0.8067271,1.374991,0.14263505,0.5842376,0.22389819,0.23939602,1.2260877,1.7456806,2.8419356,1.5124667,1.7119764,0.37614864,1.2286793,0.11817781,0.7580078,0.41139686,2.7161374,1.5016212,1.3470528,1.3739206,0.71017915,0.44442376,2.7036521,0.108414434,0.6195024,1.4898219,1.2335759,0.88245934,0.4756054,0.16387531,1.1468514,0.6639351,0.88599575,0.472665,2.1494207,0.1666209,0.34714198,0.29515135,0.72842073,0.4497154,0.74372154,1.3991355,1.9341341,1.324702,1.0970342,0.4702247,1.7692609,0.1454986,1.4011407,0.25389114,1.0155754,0.3811029,0.9547727,0.6346387,0.2461059,1.3298147,B
1.3960708,1.6944696,1.7401798,0.8920502,2.565443,0.026711376,2.189466,1.8948305,0.41636977,0.030754374,2.0123131,1.9791743,1.2809769,1.0419608,2.415699,0.36469272,1.4919262,0.88104194,0.1393817,0.37396243,0.9562954,2.4515324,0.37142816,0.29556552,0.86267984,1.2287935,0.1551408,1.4363273,0.45722473,0.53274184,0.5874177,1.3585925,2.3140051,1.1874323,1.6167551,0.18362269,0.5428269,0.34317124,0.30437967,1.3718895,2.16352,2.7866614,1.5805194,1.6622196,0.253891,1.3144641,0.08068461,0.64777744,0.3505633,2.540683,1.6942052,1.0146631,1.2635982,0.82260233,0.50644755,2.6997585,-0.009620651,0.50903904,1.476999,1.3129245,0.80147684,0.76995045,0.23385513,0.952838,0.8085859,0.86042523,0.44235408,2.2352147,0.1304399,0.33639756,0.15014172,0.65231544,0.44969168,0.5771312,1.402157,1.8722184,1.6371759,0.9741166,0.56220084,1.7919785,0.24401814,1.3222984,0.23770005,0.9075245,0.43851402,0.6615756,0.62557864,0.2841439,1.2656014,B
0.14923859,1.8013667,1.6858759,0.31002197,2.4036198,0.1627244,2.0864978,1.9805992,0.7028825,-0.02138546,2.2434156,1.7988414,1.1663642,1.3983247,2.4544759,0.41655618,1.4839103,1.0538903,0.41503066,0.3879545,1.1429864,2.226307,0.54535246,0.35193163,1.0969578,1.2928483,0.15251051,1.366201,0.4904156,0.7662241,0.10003639,1.0881623,2.2627723,1.743415,1.7962697,0.2092424,0.48381504,0.71679735,0.81044996,1.4158485,2.4507918,2.5586066,1.5905265,1.6426084,0.8250219,1.5528069,0.15361713,0.4962298,0.82484937,2.029248,1.6625905,0.35396436,1.1650127,1.2345423,0.54634285,2.7068594,0.00066848175,0.36644974,1.1833001,1.2884992,0.13025118,1.4903492,0.21465874,0.6344378,1.2135662,1.096047,0.5293601,1.9406617,0.082150996,0.50284064,0.03662288,0.82572615,0.3515267,0.80063355,1.5717934,1.9014357,1.6672289,0.9272357,0.46997857,1.8045359,0.39992884,1.0929224,0.5918418,0.97363186,0.32525983,0.42148343,0.45616558,0.030635584,1.1930842,B
1.615037,1.7476315,1.7382919,0.88236964,2.1529856,0.019815722,2.2252471,2.3473089,0.32229084,-0.0025220725,2.0739594,1.999147,1.06179,1.0455194,2.1720092,0.3893254,1.6980448,0.90774506,0.1275985,0.21964234,0.78475606,2.4289415,0.48774296,0.5046384,0.7601628,1.2925783,0.348213,1.4618351,0.5746417,0.36783475,0.15030381,1.4260062,2.1385643,0.6552451,1.5780355,0.043143846,1.1746715,0.09838629,0.33897164,1.2815169,2.0547218,2.6149287,1.6503536,1.5036756,0.30744147,0.9554655,0.08485095,0.3826713,1.0412481,2.481738,1.5449654,0.78417903,1.3094052,0.6963238,0.38051438,2.764705,-0.06325945,0.5150658,1.4240595,1.1163054,0.8647488,0.67689216,0.02295353,0.5799733,0.46831137,0.7136492,0.40685114,1.9560238,0.096650586,0.42916128,0.36250368,0.7158548,0.49801338,0.6965917,1.6140845,1.9879243,1.0222483,1.0315864,0.38777494,1.9556335,0.42256802,1.1648856,0.5365545,1.159802,0.486036,0.5991239,0.32551658,0.46285218,1.3373731,B
0.6381979,1.746672,1.7515049,0.55707365,2.5035691,0.03733127,2.2392728,1.9086528,0.49728328,-0.024835868,2.1030452,1.9556695,1.2360439,1.1191785,2.3520172,0.41513568,1.5379101,0.9635526,0.21367505,0.28017434,1.113532,2.3309703,0.44928163,0.33749118,0.8171442,1.2958274,0.23327021,1.4627637,0.57769126,0.45996758,0.2084941,1.3735641,2.3836164,1.0824226,1.5539938,0.15714213,0.84189004,0.40951362,0.4822295,1.3357991,2.1694036,2.683888,1.5804852,1.6897016,0.47652793,1.4273996,0.12807435,0.47070888,0.7011787,2.4494922,1.5599775,0.7656412,1.2220966,1.0533643,0.4366272,2.6876235,0.08688099,0.43463957,1.354806,1.3534011,0.2694499,0.95647544,0.17668122,0.6494619,0.8325386,1.0740552,0.5108885,2.07821,0.100150496,0.40612617,0.1294176,0.79130924,0.4336555,0.7808374,1.5378159,1.9584945,1.4808098,0.96426004,0.48375103,1.9572332,0.33064246,1.2411555,0.49401125,1.0029781,0.35353675,0.38954982,0.5081524,0.05581655,1.2712193,B
0.65928423,1.7709005,1.8427312,0.77475554,2.548763,-0.019041462,2.29668,1.6917721,0.31740847,0.013125443,2.0420375,1.9778514,1.3087406,1.013607,2.3335156,0.4322449,1.5410831,0.9496177,0.14498025,0.18472129,0.87617046,2.4045532,0.49892804,0.42070243,0.78510886,1.2626958,0.4310939,1.5110576,0.5255549,0.33250952,0.16993922,1.520617,2.3603573,0.74709505,1.3676568,0.061976887,1.0729313,0.27595416,0.40211245,1.3774639,1.952073,2.6934733,1.5239834,1.6747856,0.30636674,1.3322316,0.069725,0.44406372,0.81995726,2.527419,1.6058413,0.8275284,1.2418466,0.98375756,0.37097597,2.6680424,0.05556436,0.46503085,1.4103241,1.3978045,0.21622355,0.516123,0.14361066,0.59158105,0.51089305,1.0291289,0.4773083,2.2528274,0.16021442,0.46035936,0.29735368,0.7363264,0.43736055,0.7196822,1.5571058,1.9959172,1.2078903,0.93394834,0.53156495,1.631062,0.3114139,1.4019247,0.40766606,0.9979365,0.35752606,0.5286739,0.44360676,0.015583415,1.3677797,B
1.1618613,1.8357493,1.6674654,0.8078211,2.2457156,0.035128027,2.2380886,2.159354,0.42607686,0.0071580047,2.0494726,1.9698349,1.1417633,1.0493183,2.2681897,0.2658474,1.6589419,0.92637956,0.1418619,0.325978,1.0352149,2.3791583,0.5036337,0.33854038,0.73252565,1.2921834,0.27099228,1.4781961,0.5996618,0.40376928,0.27106524,1.3493706,2.302001,0.9755625,1.6968112,-0.013877117,0.7989725,0.16937529,0.44485408,1.3422581,1.9917238,2.6392183,1.6262273,1.5440695,0.3118112,1.1293802,0.08827169,0.42614102,0.6414675,2.5277176,1.5670949,0.69461596,1.3171816,0.82664883,0.30922538,2.729295,-0.078442276,0.38773245,1.4012388,1.1613605,0.61012477,0.78111994,0.13495499,0.77878135,0.674082,0.8205067,0.4823556,1.9326049,0.13519013,0.4406473,0.22681364,0.74537504,0.4486596,0.8811718,1.6090363,1.981199,1.3210827,1.0585387,0.42074063,2.1519806,0.3675737,1.1619403,0.6367731,1.0584255,0.5536061,0.58761346,0.41050157,0.26210198,1.2670065,B
