SLC4A1,ALOX5,DDX11,NRXN3,CD44,KITLG,ASPM,STAG3,FCGR2B,GLI2,ARHGAP15,SPAG5,ICAM1,APOL1,CORO1A,CD33,ZNF85,NSUN5P2,BMPR1A,AREG,VNN2,KLHL24,VIPR1,LCT,LEPR,NEK2,PCDHB14,KIF18A,RIBC2,APOE,FXYD2,CELSR2,AFF3,GZMA,SCML4,NLGN4X,TMEM236,FCGR1A,DIXDC1,SEC24D,CD96,MSI2,GRAP,OBSCN,AGAP1,NCF1,DDR2,FCGR3B,KIF26B,EBF1,GALNT10,DEFA4,GKAP1,NCF1C,JAM3,PRKCB,AR,RNASE3,HIC2,MYO7B,GYPA,CD8B,CSPG4,NCKAP5,TIGIT,NCF1B,GTF2H2C,FMNL1,RGPD2,PRAME,PCDHB13,FAM72B,GRAPL,FAM72A,ZNF138,ARHGAP11A,FCGR3A,MICA,LILRB3,HCP5,SNORA12,DDX12P,FAM72D,RPL23AP53,HAR1A,ZNF492,FCGR2C,GYPB,ZNF850,Cell_type
1.1985991,1.8052697,1.7312832,0.49775806,2.224469,0.02416561,2.1845665,1.9845265,0.24526401,-0.0077868616,2.234499,2.0646145,1.115621,1.2187481,2.106154,0.35860303,1.5194958,1.2299215,0.2511933,0.03882604,1.1818271,2.3479805,0.38995343,0.44533193,1.0445741,1.3375525,0.2603838,1.5506989,0.64459425,0.6605696,0.18093137,1.154808,2.5497923,0.78923506,1.4124378,0.42320114,0.86468846,0.21088435,0.50107473,1.2736121,1.7066579,2.8572235,1.4950752,1.5921129,0.8699569,1.2491971,0.08930784,0.5516527,0.46765924,2.2940245,1.7028282,0.6538619,1.4579349,0.95197636,0.36393496,2.744489,0.024743363,0.31417528,1.2889196,0.9149386,0.5716992,0.72177017,0.091930695,0.9473457,0.7375276,0.9766752,0.6053439,2.1085036,0.3270247,0.14104776,0.29134038,0.9177199,0.26699415,0.97258407,1.6286461,1.9962953,1.3315352,1.1825666,0.33312216,1.7444326,0.37442106,1.4072052,0.55145776,0.9679533,0.43866828,0.45592636,0.30019078,0.33398035,1.3459352,B
1.3063029,2.377288,1.6699675,0.33600053,2.052428,-0.011180943,2.264319,1.9165473,0.59368515,-0.12589903,2.1071887,2.0247953,0.88437283,0.9746558,2.3576527,0.55612916,1.5704128,1.0486442,0.24928868,0.024293028,0.9760653,2.3884344,0.42940053,0.37275502,0.91982174,1.3707485,0.6139348,1.5740918,0.733156,0.44425514,0.21529067,1.4930795,2.3733797,1.0548797,1.120519,0.63192976,0.5260444,0.43420604,0.429875,1.1766593,1.7304984,2.3810594,1.7500402,1.9414151,1.0568228,1.8058954,-0.012756785,0.23894921,1.238755,2.368697,1.3717221,0.85316557,1.2319866,1.4146029,0.38239616,2.8666186,0.14523841,0.6197362,1.2574234,0.53615457,1.0551153,0.8245672,0.081720985,0.123972386,0.63939553,1.2569863,0.46396053,2.1689022,0.22725384,0.6622889,0.48839572,0.8758406,0.542251,1.0321609,1.4994926,2.0414724,1.2229065,0.98883635,0.632321,1.8626314,0.5443505,1.1710128,0.80685455,1.3178337,0.43608963,0.8531098,0.38006282,0.5536321,1.4957705,B
1.6514426,2.1793149,1.8326246,1.354299,2.3692257,0.019104378,2.3187668,2.1673152,0.2802212,-0.026640793,2.1489615,2.004108,1.1246004,1.0677487,2.2237253,0.4188928,1.5066792,0.8954865,0.1791899,0.17575005,1.1259372,2.2599766,0.57868123,0.4464627,0.9035952,1.3416088,0.77227724,1.5906397,0.51371616,0.467034,0.15438583,1.6513193,2.3637147,0.9628446,1.3194451,0.015115536,1.1142069,0.050743405,0.46884,1.2673252,1.468715,2.711968,1.6632533,1.658037,0.5758279,1.0482339,0.13471714,0.41253743,0.87038136,2.405228,1.618559,1.2427872,1.2763406,0.581769,0.27138388,2.653758,0.018293038,0.2304078,1.514266,1.3399463,1.0144489,0.42333633,0.29056993,0.78222126,0.67438316,0.67858565,0.65258604,2.2742615,0.25725323,0.41200545,0.66954935,0.85124785,0.68343645,1.0550928,1.5603181,2.0632322,1.1769964,1.1429232,0.46143714,2.1670568,0.118702866,1.3418583,0.7171106,1.1907451,0.47220495,0.48400193,0.41510364,0.42667612,1.4360288,B
1.5268338,1.9916888,1.7728103,0.91362935,2.5441456,0.0041187275,2.1950526,1.3265326,0.6296857,0.012969178,2.0420513,1.9216068,0.98346573,1.1231023,2.3679173,0.54378694,1.572127,0.7632298,0.35969302,0.016953908,1.2250804,2.230675,0.6375247,0.46007827,0.91368705,1.2055013,0.2752736,1.4488463,0.64385754,0.43286633,0.12788177,1.3970928,2.2326543,1.1520075,1.4367954,0.33481687,0.5096557,0.47006392,0.39623174,1.5302328,2.0112991,2.5369043,1.5366273,1.5813171,0.35895264,1.4014975,0.0808638,0.80158955,0.52653253,2.5841033,1.4571866,1.1909136,1.2462195,0.89328086,0.34526357,2.552509,0.0126900235,0.8559679,1.4146785,1.1302826,0.8430224,0.88881403,0.27951378,0.14443244,0.73260707,0.8582523,0.4240957,2.2293344,0.19842511,0.40296885,0.18039295,0.7995953,0.24647988,0.67842,1.524712,1.8926425,1.5086908,1.0961603,0.54322034,1.6340456,0.3128611,1.2226341,0.47263575,1.0987407,0.72778,0.5391241,0.46315265,0.37152687,1.4134194,B
0.7067076,1.8466562,1.8966032,0.15482816,2.0719078,0.036658645,2.204348,1.5585155,0.36422092,0.019990804,2.128019,1.9420533,1.2083,1.1863736,2.2287378,0.32317716,1.491848,0.9175973,0.25356513,0.23350689,0.9639327,2.1936345,0.394392,0.5267136,0.9189864,1.4473665,0.49884287,1.5663275,0.5683793,0.61942744,0.08455556,1.1171814,2.1928008,1.2631049,1.4751087,0.2993237,0.56596476,0.2736582,0.937628,1.2615911,2.1552477,2.528109,1.5154357,1.7218049,0.57795924,1.1284666,0.08525548,-0.11496056,0.61517644,2.1371279,1.3521527,0.080926254,1.2212855,0.8102057,0.47198832,2.8976152,0.05223456,-0.09861671,1.3111659,1.1928071,0.63762844,0.9933004,0.12556252,0.1973915,0.7770245,0.71402717,0.6694517,1.8867452,0.21413684,0.8673794,0.3329677,0.9828387,0.21466129,1.1448622,1.5685326,1.9626291,0.9510504,1.1043804,0.17033422,1.7450137,0.18881789,1.313812,0.7713352,0.9111016,0.36166483,0.7723492,0.26411054,0.24866788,1.4293798,B
1.1013747,1.7433685,1.9463881,0.5261654,2.2580354,0.050568104,2.479361,1.7785859,0.066957936,-0.07243432,2.14564,2.1410778,1.2223568,0.96688527,2.406946,-0.25519457,1.5659753,0.9769013,0.11823432,0.013925456,1.1285142,2.4996316,-0.10527737,0.12262511,0.6150725,1.3743162,0.51717407,1.6841223,0.85994333,0.6006931,0.2587238,1.5635388,2.51654,0.65204304,1.6544061,0.6306209,0.55843437,0.14849846,0.5721123,1.3091096,1.5860189,2.6643465,1.6626385,1.7744238,0.2556917,1.1916335,0.041340135,0.21137083,0.60493565,2.591215,1.3917346,0.90398973,1.2150594,0.6172193,0.57538885,2.6366255,0.36618155,0.1786193,1.5504946,1.3712378,0.5753848,0.4893208,0.10738287,0.61273545,0.5675327,0.7332952,0.27991724,2.2247887,0.0054828497,0.26970413,0.38550204,0.80543494,0.52512974,0.804516,1.6149362,1.9838778,1.1279057,1.0626202,0.41236505,1.9458174,0.17302018,1.5877095,0.5091284,0.99677545,0.53628254,0.7960616,0.22684307,0.19020136,1.3460805,B
1.2629141,1.6754574,1.9747828,0.7756528,2.4637928,0.0071579013,2.0436125,2.2313175,0.5866624,-0.027474193,2.1254818,1.9110755,1.0587629,1.1506712,2.3915856,0.1573604,1.4335114,0.9999208,0.3317284,0.19046995,1.07013,2.233036,0.5347627,0.4075926,0.7941085,1.2648144,0.015004108,1.420985,0.7360521,0.6952046,0.42077118,1.4865762,2.3875465,1.3190016,1.6185032,0.26368207,0.57667,0.5096092,0.72354,1.3983979,2.0294988,2.7208474,1.6723894,2.0598266,0.44698238,1.5606446,-0.019845134,0.9724004,0.81660736,2.5616932,1.4200433,0.9060752,1.1661375,0.9485688,0.4054117,2.5273852,0.103232935,0.5228433,1.3555131,1.4928768,0.684965,1.0556167,0.15108876,0.98628175,0.8589792,1.1420355,0.44069955,2.4039006,0.2360184,0.29135293,-0.012668137,0.7356621,0.5551216,0.73719865,1.4529914,1.98569,1.4605176,0.94010156,0.6427691,1.5556417,0.3895617,1.5001462,0.3613102,0.94517785,0.25963014,0.42469707,0.45547327,0.29655012,1.2988241,B
1.2339946,1.5806423,1.9275125,0.6061497,2.0797248,0.14360255,2.3851676,2.2493017,0.11773671,-0.06924455,1.969109,1.9652269,0.93158877,1.1383538,2.084254,0.18216375,1.5179142,1.155936,-0.010470612,0.18288225,0.56241316,2.736168,0.0722227,0.21369705,0.9035434,1.3780491,0.9309427,1.5869347,0.4871245,0.53632313,0.10901543,1.8273795,2.3922064,0.81275564,1.6323652,-0.09684118,0.99546456,0.06525439,0.5513966,1.2066959,1.8238653,2.76594,1.5907788,2.01306,1.1327163,1.0870965,0.037747197,0.050598405,1.0454018,2.6144853,1.7421367,0.5367956,1.340505,0.61445546,0.19142494,2.8779013,0.40378442,0.16206974,1.525852,1.1924568,0.7958064,0.84371126,-0.10577919,0.85221136,0.6603114,0.61325103,0.4138591,2.1728466,0.16121204,0.39909568,0.91473055,0.792294,0.7758805,0.9143321,1.5621865,2.1079745,0.81139594,0.81561494,0.23718816,1.9222606,0.06252996,1.4812057,0.5244127,1.1311629,0.44584253,1.0780836,0.21462816,0.24060348,1.5233258,B
0.84175587,1.8693542,1.932941,1.262772,2.6386974,0.018801576,2.3068495,1.7515306,0.19353987,0.013315433,2.2176545,2.0630624,1.1933572,0.8724808,2.3006473,0.17199472,1.7270682,0.8004023,-0.05801089,0.23524143,0.80467314,2.6533933,0.5016927,0.34576988,0.7555226,1.2474002,0.28265834,1.6740875,0.819086,0.64534175,0.07114556,1.3299378,2.4585335,0.56597537,1.157737,0.45152444,1.1845201,0.2232722,0.28212553,1.224116,1.736576,2.8763068,1.6358161,1.6134999,-0.014727163,1.257583,0.049895458,0.18187615,0.4184832,2.879563,1.3621167,1.0374056,1.2315114,0.75279194,0.32405728,2.6954846,-0.11076537,0.31498662,1.5971144,1.4195474,0.38870692,0.3488369,-0.014768415,0.720611,0.37150836,1.0226862,0.40184182,2.1111722,-0.028031053,0.94828093,0.12491914,0.7118643,0.5566616,0.5918562,1.6635954,2.0161843,1.0185635,1.0035946,0.37162474,1.5507987,0.10073919,1.5344576,0.3085861,1.0810428,0.13197115,0.5007799,0.29106593,0.18149541,1.3567449,B
0.72715074,1.8403987,1.7370805,0.6131112,2.3608294,0.10125479,2.345369,1.9132423,0.14127363,-0.03454686,2.054529,2.0164506,1.2091167,0.85516596,2.0597997,0.19107655,1.6733092,0.8022823,0.031625733,0.38318813,0.747981,2.4312701,0.25899333,0.4965602,0.7644123,1.3640972,0.83177984,1.6989887,0.70363593,0.16519356,0.18599902,1.5154756,2.2617748,0.6976295,1.2601246,0.084462084,0.9955906,-0.020611998,0.55827063,1.2283049,1.6257954,2.6345878,1.4661549,1.430373,0.6269872,0.7951852,0.100951605,-0.15943444,1.5716071,2.3746784,1.5188571,0.58813906,1.2696736,0.35592076,0.36718982,2.8059585,0.03130971,0.0298231,1.4430525,0.9345475,0.28983414,0.4740909,0.119666375,0.17765029,0.56915337,0.5309319,0.56926316,1.9597881,0.4889577,0.7819008,0.7914881,0.7224085,0.43992108,0.8565558,1.6678797,2.0148962,0.9567408,0.95441794,0.048790865,1.8084202,0.17476913,1.247575,0.63171786,0.8717024,0.37740046,0.70863444,0.2846407,0.032664467,1.5517206,B
